Артикул,Бренд,Название,Ссылка на фото
XB50014,Xado,"Омивач скла, літній, 5 л XB50014",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_11-00-22_13314969.jpg
5022,Mannol,"Омивач скла, літній, концентрат 1:100 цитрусовий, 250 мл 5022",https://images2.exist.ua/media/images/products/2019/10/7145526_63111270_3ZCwsAX.jpg
0880880016,Toyota,"Омивач скла, зимовий -10°C, 100 мл 0880880016",https://images2.exist.ua/media/images/products/2021/01/45__rsmlCzN.jpg
7711238973,Renault,"Омивач скла, зимовий -20°С, 1 л 7711238973",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_18-30-29_13314697.jpg
XB50006,Xado,"Омивач скла, літній, концентрат, 250 мл XB50006",https://images2.exist.ua/media/images/products/2022/02/2022-10-02_02-36-11_13136372.jpg
1517,Liqui Moly,"Омивач скла, літній, концентрат ""Цитрус"", 50 мл 1517",https://images2.exist.ua/media/images/products/2022/02/2022-13-02_13-48-09_13238238.jpg
NASW801,StarLine,"Омивач скла, зимовий -80°С, концентрат, 1 л NASW801",https://images2.exist.ua/media/images/products/4042/56849559/3904832.jpg
45202,Wynn's,"Омивач скла, літній, концентрат 1:20, 1 л 45202",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-30-15_13314881.jpg
31301249,Volvo,"Омивач скла, зимовий -28°С, концентрат, 1 л 31301249",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-30-16_13314877.jpg
332541,Sonax,"Омивач скла, зимовий -20°C, 2 л 332541",https://images2.exist.ua/media/images/products/2018/09/4980054_19063306.jpg
NASWL1PET,StarLine,"Омивач скла, літній, 1 л NASWL1PET",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-38_13314748.jpg
4823075800667,Helpix,"Омивач скла, літній ""Лимон"", 4 л 4823075800667",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-12_13321170.jpg
20096008,AND,"Омивач скла, літній ""Яблуко"", 2 л 20096008",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_11-30-10_3887756.jpg
5905694000051,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Ліс 5905694000051",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244020.jpg
4823075804481,Helpix,"Омивач скла, всесезонний -5°С ""My Car"", 4 л 4823075804481",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-13_13321174.jpg
TVZ000001NA,VAG,"Омивач скла, зимовий -50 °С, концентрат, 1 л TVZ000001NA",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-30-16_13314876.jpg
G060164M2,VAG,"Омивач скла, зимовий -21 °С ""Cool & Fresh"", 1 л G060164M2",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_18-00-14_13314874.jpg
48021031074,AXXIS,"Омивач скла, зимовий -22°С ""Citrus Green"", 4 л 48021031074",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_19-00-17_13321190.jpg
HBA096036,VAG,"Омивач скла, літній, 1 л HBA096036",https://images2.exist.ua/media/images/products/2022/06/2022-06-06_19-00-15_5316544.jpg
NASWLK250,StarLine,"Омивач скла, літній, концентрат 1:100, ""Цитрус"", 250 мл NASWLK250",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-19_8867391.jpg
NASW304,StarLine,"Омивач скла, зимовий -30°C, 4 л NASW304",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-39_13314751.jpg
NASW203PET,StarLine,"Омивач скла, зимовий -20°C, 3 л NASW203PET",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-16_8867378.jpg
NASW203,StarLine,"Омивач скла, зимовий -20°C, 3 л NASW203",https://images2.exist.ua/media/images/products/2021/06/2021-12-06_15-01-33_8867377.jpg
8671013681,Renault,"Омивач скла, зимовий -20°C, 5 л 8671013681",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_11-30-18_13314738.jpg
A001986807118,Mercedes,"Омивач скла, літній, концентрат, 250 мл A001986807118",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_16-30-19_13314613.jpg
QT00011,QT-oil,"Рідина омивача літня, антимошка, Bubble Gum, 1 л QT00011",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-33_8808854.jpg
HELPIX22CLEMON2L,Helpix,"Омивач скла, зимовий -22°С ""Лимон"", 2 л HELPIX22CLEMON2L",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-13_13321173.jpg
NASWL1,StarLine,"Омивач скла, літній, 1 л NASWL1",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_12-30-35_13314742.jpg
NASWLN1,StarLine,"Омивач скла, літній, 1 л NASWLN1",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-20_8867392.jpg
20096002,AND,"Омивач скла, літній ""Вишня"", 2 л 20096002",https://images2.exist.ua/media/images/products/2022/06/2022-01-06_11-00-16_3887747.jpg
5905694007470,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Лимон 5905694007470",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244021.jpg
5905694007487,Moje Auto,"Засіб для очищувача лобового скла, концентрат, 250 мл, Апельсин 5905694007487",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244022.jpg
5905694007494,Moje Auto,"Засіб для очищувача вітрового скла, концентрат, 250 мл, Яблуко 5905694007494",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-53_13244023.jpg
501003,Solgy,Рідина омивача скла 501003,https://images2.exist.ua/media/images/products/2022/03/2022-28-03_11-00-27_9339896.jpg
4823075804498,Helpix,"Омивач скла, всесезонний -5°С ""Black Berry"", 4 л 4823075804498",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_14-30-14_13321175.jpg
5905694017417,Moje Auto,"Зимовий скло очищувач рідини, концентрат, 1 л, -80С 5905694017417",https://images2.exist.ua/media/images/products/2022/03/2022-10-03_12-03-44_13244076.jpg
NASWN201,StarLine,"Омивач скла, зимовий -20°C, 1 л NASWN201",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-21_8867394.jpg
99004,Zilbermann,"Омивач скла, літній ""Bubble Gum"", 4 л 99004",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_14-30-15_7959825.jpg
99005,Zilbermann,"Омивач скла, літній ""Морська свіжість"", 4 л 99005",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_15-00-19_7959826.jpg
NASW201PET,StarLine,"Омивач скла, зимовий -20°C, 1 л NASW201PET",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-16_8867376.jpg
99KPSZ05A,POLCAR,Омивач скла 99KPSZ05A,
NASW201,StarLine,"Омивач скла, зимовий -20°C, 1 л NASW201",https://images2.exist.ua/media/images/products/2022/06/2022-08-06_11-00-15_8867375.jpg
5024,Mannol,"Омивач скла, зимовий -70°C, концентрат цитрусовий, 1 л 5024",https://images2.exist.ua/media/images/products/2019/10/7145527_63111271_fnbo6KX.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
17776,Glint,"Рідина для омивача скла, зимова -20°C, аромат зелене яблуко, 5 л 17776",https://images2.exist.ua/media/images/products/2019/09/7123805_63035783.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
5905807001395,Organika,"Омивач скла, зимовий Adixol A-21°C, 5 л 5905807001395",https://images2.exist.ua/media/images/products/3659/41396467/4693395.jpg
W4044,Turtle wax,"Омивач скла, зимовий -35°C ""Рідке полум'я"", 4 л W4044",https://images2.exist.ua/media/images/products/2018/09/4980544_57076381.jpg
SCH20C51,Molder,Омивач скла зимовий molder lemon лимон -20 ° c sch-20c-51 SCH20C51,https://images2.exist.ua/media/images/products/2018/10/5013767_59814783.jpg
17772,Glint,"Рідина для омивача скла, зимова -20°C, аромат море, 1 л 17772",https://images2.exist.ua/media/images/products/2019/09/7123802_63035779.jpg
KR337,Kerry,"Рідина омивача скла літня, суперконцентрат ""Лісові ягоди"", 0,27 л KR337",https://images2.exist.ua/media/images/products/2021/05/2021-27-05_11-01-00_8805389.jpg
2324051,Sonax,"Набір 1 + 1! Sonax (232405) -20 ° C, 4 л + Sapfire (999317) -20 ° C, аромат морський бриз, 1 л 2324051",https://images2.exist.ua/media/images/products/2019/03/5353853_61367531.jpg
9901331,Sheron,"Набір 1 + 1! Sheron (990133) -22 ° C, 4 л + Sapfire (999317) -20 ° C, аромат морський бриз, 1 л 9901331",https://images2.exist.ua/media/images/products/2019/03/5353857_61367533.jpg
WIN54,Winter,Омивач скла Winter 5 л -20 ° C Ананас WIN54,https://images2.exist.ua/media/images/products/2020/03/7667473_59813316.jpg
QT00024,QT-oil,"Рідина омивача літня, антимошка, Melon, 4 л QT00024",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-34_8808858.jpg
PL001,Turtle wax,"Омивач скла, зимовий -80°C, 1л PL001",https://images2.exist.ua/media/images/products/2021/11/2021-16-11_15-01-12_9454288.jpg
17771,Glint,"Рідина для омивача скла, зимова -20°C, аромат лайм, 1 л 17771",https://images2.exist.ua/media/images/products/2019/09/7123801_63035778.jpg
5905807003054,Organika,"Омивач скла, зимовий Adixol A -50°C, концентрат, 5 л 5905807003054",https://images2.exist.ua/media/images/products/3659/41396732/4693398.jpg
SKC20001,Hepu,"Рідина омивача скла, зимова -20°C, 1 л SKC20001",https://images2.exist.ua/media/images/products/3088/22413896/3859098.jpg
W77396,Wynn's,"Омивач скла, зимовий -70°C, концентрат, 5 л W77396",https://images2.exist.ua/media/images/products/4342/19369234/4058668.jpg
XB50001,Xado,"Омивач скла, зимовий, -32°C, 2 л XB50001",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_14-00-12_4980511.jpg
XB50012,Xado,"Омивач скла, літній, 5 л XB50012",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_19-00-19_13314882.jpg
WIN52,Winter,Омивач скла Winter 5 л -20 ° C Лимон WIN52,https://images2.exist.ua/media/images/products/2020/03/7667472_59813315.jpg
17773,Glint,"Рідина для омивача скла, зимова -20°C, аромат зелене яблуко, 4 л 17773",https://images2.exist.ua/media/images/products/2019/09/7123803_63035780.jpg
17780,Glint,"Рідина для омивача скла, зимова -20°C, аромат лайм, 3 л 17780",https://images2.exist.ua/media/images/products/2019/09/7123808_63035787.jpg
PL002,Turtle wax,"Омивач скла, зимовий -80°C, 4 л PL002",https://images2.exist.ua/media/images/products/2021/11/2021-16-11_15-01-13_9454289.jpg
FL109,Fill inn,"Ароматизированный концентрат стеклоомывателя в таблетке (яблоко), 1 шт FL109",https://images2.exist.ua/media/images/products/2889/41441484/3859097.jpg
3324001,Sonax,"Набір 1 + 1! Sonax (332400) -20 ° C, 4 л + Sapfire (999317) -20 ° C, аромат морський бриз, 1 3324001",https://images2.exist.ua/media/images/products/2019/03/5353855_61367534.jpg
151000115,MLux,"Рідина омивача скла Кристалл, зимова, аромат диня -20°C, 5 л 151000115",https://images2.exist.ua/media/images/products/2019/12/7321635_62809389_68XWkHN.jpg
803001,Eurolub,"Рідина омивача скла, зимова, концентрат -70°C, 1 л 803001",https://images2.exist.ua/media/images/products/2832/22504187/3859092.jpg
22691,Glint,"Рідина омивача скла, зимова -20°C, аромат Bubble gum, 3 л 22691",https://images2.exist.ua/media/images/products/2019/11/7228598_63216289_GsuRg36.jpg
QT00025,QT-oil,"Рідина омивача літня, антимошка, Melon, 5 л QT00025",https://images2.exist.ua/media/images/products/2021/06/2021-08-06_12-30-33_8808856.jpg
151000011,MLux,"Рідина омивача скла, зимова, концентрат -80°C, 1 л 151000011",https://images2.exist.ua/media/images/products/2018/12/5353280_61358121.jpg
151000015,MLux,"Рідина омивача скла, зимова, концентрат -80°C, 5 л 151000015",https://images2.exist.ua/media/images/products/2018/12/5353282_61358123.jpg
XB50812,Xado,"Омивач скла, літній, 1 л XB50812",https://images2.exist.ua/media/images/products/2022/06/2022-07-06_14-00-12_4980319.jpg
KR338,Kerry,"Рідина омивача скла літня, суперконцентрат, ""Лимон"", 0,27 л KR338",https://images2.exist.ua/media/images/products/2021/05/2021-27-05_11-01-00_8805390.jpg
XB50004,Xado,"Омивач скла, зимовий -22°С, 3 л XB50004",https://images2.exist.ua/media/images/products/2022/05/2022-30-05_19-00-21_13314888.jpg
ADACVASL4,DAC Luxury Quality,"Рідина омивача скла, літня, 4 л ADACVASL4",https://images2.exist.ua/media/images/products/4961/56842898/3675804.jpg
7711238964,Renault,"Омивач скла, літній -4°С, 1 л 7711238964",https://images2.exist.ua/media/images/products/2022/06/2022-02-06_18-00-14_5368228.jpg
KR336,Kerry,"Рідина омивача скла літня, суперконцентрат без запаху, 0,27 л KR336",https://images2.exist.ua/media/images/products/2021/05/2021-27-05_11-01-00_8805388.jpg
009515,Sapfire,"Омивач скла, літній ""Antimosquito"", 1 л 009515",https://images2.exist.ua/media/images/products/2021/02/45_8493726.jpg
5905807003047,Organika,"Омивач скла, зимовий Adixol A -50°C, концентрат, 1 л 5905807003047",https://images2.exist.ua/media/images/products/3659/41396723/4693397.jpg
 , , , 
 , , , 
 , , , 
22692,Glint,"Рідина омивача скла, зимова -20°C, аромат Bubble gum, 4 л 22692",https://images2.exist.ua/media/images/products/2019/11/7228597_63216290.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
XTSCREENWASH303L,Xt,"Омивач скла, зимовий -30°C, 3 л XTSCREENWASH303L",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_11-00-21_13314967.jpg
1201000015NEW,4max,"Омивач скла, зимовий -20°С , 20 л 1201000015NEW",https://images2.exist.ua/media/images/products/2022/05/2022-26-05_17-30-15_13314045.jpg
9000063,Megazone,"Рідина омивача скла MegaZone Classic зимовий -20 4л, Литва синій, Каністра 9000063",https://images2.exist.ua/media/images/products/2020/11/45__VFPbvLI.jpg
M33,Winter,Омивач скла Winter 3 л -20 ° C Лимон M33,https://images2.exist.ua/media/images/products/2020/03/7668133_59815165.jpg
142010000101000,Ravenol,"Омивач скла, зимовий, концентрат ""Цитрус"", 1 л 142010000101000",https://images2.exist.ua/media/images/products/2018/09/2823196_5893238.jpg
142010500106000,Ravenol,"Омивач лобового скла RAVENOL SCHEIBENFROSTSCHUTZ, зимовий -30C, 1л 142010500106000",https://images2.exist.ua/media/images/products/2022/08/2022-17-08_17-00-24_13787330.jpg
04210,Kroon oil,"Омивач скла, концентрат, 1 л 04210",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_16-00-20_13314590.jpg
136008020801000,Ravenol,"Омивач лобового скла RAVENOL SOMMER-SCHEIBENREINIGER, літній концентрат 1:10, 208л 136008020801000",https://images2.exist.ua/media/images/products/2022/08/2022-17-08_17-00-40_13787201.jpg
M35,Winter,Омивач скла Winter 3 л -20 ° C Ананас M35,https://images2.exist.ua/media/images/products/2020/03/7668128_59815156.jpg
9000063,Megazone,"Рідина омивача скла MegaZone Classic зимовий -20 4л, Литва синій, Каністра 9000063",https://images2.exist.ua/media/images/products/2020/11/45__VFPbvLI.jpg
AS35E,Shell,"Омивач скла, літній, 1 л AS35E",https://images2.exist.ua/media/images/products/2022/05/2022-10-05_18-30-12_13294581.jpg
4820160470187,O S M,"Омыватель стекол ""–21 °C"", 4 л 4820160470187",https://images2.exist.ua/media/images/products/3634/41334396/4693400.jpg
4820095200156,Akvilon,"Омивач скла, зимовий ""Лимон"" -20°C, 1 л 4820095200156",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_11-30-16_13314975.jpg
XSW5L,Comma,Автозапчастина XSW5L,https://images2.exist.ua/media/images/products/2625/59012932/3859090.jpg
T9902040,Toko,"Омивач скла, зимовий -20°С ""Морська свіжість"", 4 л T9902040",https://images2.exist.ua/media/images/products/2019/07/6966934_62931571.jpg
1201000025NEW,4max,"Омивач скла, зимовий -25°С , 4 л 1201000025NEW",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_12-00-21_13314979.jpg
CH003,Chemipro,Рідина омивача скла CH003,https://images2.exist.ua/media/images/products/2020/11/45__wr1pEKt.jpg
9000009,Megazone,Рідина омивача скла 9000009,https://images2.exist.ua/media/images/products/2020/11/45__lYkubeR.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
B1354,Bizol,"Омивач скла, літній ""Літня свіжість"", 4 л B1354",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_13-30-17_13314132.jpg
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
CH051,Chemipro,Рідина омивача скла CH051,https://images2.exist.ua/media/images/products/2021/10/2021-18-10_10-01-20_9361358.jpg
SW3,Shafer,"Омивач скла, зимовий, 4 л SW3",https://images2.exist.ua/media/images/products/2022/01/2022-04-01_16-35-21_9575978.jpg
CR619408,POLCAR,Омивач скла CR619408,
XSW1L,Comma,Автозапчастина XSW1L,https://images2.exist.ua/media/images/products/2625/18811489/3859089.jpg
1271,Bizol,"Омивач скла, зимовий -25°C ""Цейлонська кориця"", 4 л 1271",https://images2.exist.ua/media/images/products/2022/05/2022-31-05_12-30-14_13315011.jpg
1606278580,Citroen/Peugeot,"Омивач скла, літній -4°C, 4 л 1606278580",https://images2.exist.ua/media/images/products/2022/05/2022-27-05_14-30-28_13314345.jpg
